cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
DAUDI,0.032545370896301974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592329155810831,0.3683452759988961,-0.14528574743539524,0.0,0.05493950565117167,0.0,0.0,0.08597277084078421,0.0,0.0,0.0,0.0,0.5016070084107848,0.0,-0.0041619056335770324,0.0,0.0,0.0,0.0,0.10261272007421617,0.0,0.0,0.0,0.0,-0.08578193164545315
BICR31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492546429430485,0.020018393521999286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07763478529682993,0.0,-0.07457053256018607,0.0,0.0,-0.0330101018544356,0.0,0.0,-0.024725754089591802,-0.019041249787560915,0.042126340448740356,0.05432970663338887,-0.08817771490090798
YAPC,-0.04906717494508028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07372571282031205,0.03867530968450575,0.0,0.0,0.0,-0.016299105021073443,0.0,0.0,0.0,0.0,0.09494086141393422,0.0,-0.016456357951785586,-0.05451956004493265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07072403096559086,0.13684583886879514,-0.04473690793563437
NAMALWA,0.0,-0.11313725674840358,0.0,-0.057751766711240826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627444054044003,-0.04805198813997069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06508506157789642,0.0,-0.04247405290863216,0.0,0.0,0.0,-0.01805455119965399,0.08204890258112195,0.10414995974781245,0.0,0.0,0.0,-0.08518387609510257
TCCSUP,0.15688961384417108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277871133728665,0.01865360294708421,0.0,0.0,0.0,0.0,0.0999955834333009,0.0,0.0,0.0,0.0,-0.10144816302248771,0.0,0.0,0.0,0.018978205989293916,0.0,0.0,0.07719011016412493,0.0,0.0,-0.01204066748714246,0.03768941289849882,0.3864961523952559
KURAMOCHI,0.13548875849067185,0.0,0.0,0.6365689275863593,0.0,0.0,0.0,0.0,0.03264227150462651,0.0,0.0,0.0,-0.03892770222490297,0.0,0.0,0.0,0.0,0.16756826816291867,0.0,0.050208360610103385,0.0,0.024968553705389866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06774844782362845,-0.11126407885539931,-0.10345786286722097
SW1088,0.0,-0.09429988634580297,0.0,0.06870257657409352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2310169026686479,0.0,0.0,0.0,0.0,0.0,0.14901384909278143,0.0,0.0,0.0,0.0,-0.049304088302286386,0.0,-0.08100856414671975,0.0,0.014360175195161612,0.0,0.0,0.0,0.0,0.0,0.0710951297567711,0.024929450397029058,-0.04058950775281711
MCF7,0.0,-0.04600643314028474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04168007469793911,0.01889163758322377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10237835972149824,0.04986560972713262,0.0,0.8977239017119281,0.0,0.0,0.0,0.04569059039795226,0.0,0.03668670049498183,0.0,0.029325857681263306,0.15135016367626294,0.0
SW620,0.0,-0.09041011112859429,0.0,-0.11654985377333886,0.0,0.0,0.0,0.0,0.0,0.02163619492951077,0.0,0.2617500443567639,0.0,0.0,0.0,0.0,0.0,0.0,0.011862749258632467,0.0,0.0,0.0,-0.09220543839366495,0.0,0.0,0.018884132531962562,0.0,0.053942211559403284,0.0,0.0,0.14697978385197388,0.0,0.0,0.0,-0.026798219055058022
SW48,0.0,0.0,0.0,0.2781261256550971,0.0,0.0,0.0,0.0,0.0,0.0,-0.04270148849402386,-0.3380419395085263,0.0043733384907889885,0.0,0.0,0.0,0.0,-0.047691280199698226,0.0,0.0,0.0,0.03266788741183829,0.09471337701110287,0.0,0.0,0.0,0.0,0.0,-0.024491039702370845,0.0,0.16247883305468433,0.0,0.008571502592770633,0.0,0.0
RT4,0.061409730233594494,-0.03436192728856711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516557934942013,0.06175405594392333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08654099654489374,0.0,-0.05437970770845397,0.0,0.0,0.0,0.0,0.02137222370839558,0.18086820953873103,0.0,0.032720469868830815,0.0,-0.051008669196183645
KM12,-0.02011122903756228,0.0,-0.01983565499923214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02644596721794815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18676542323816092,-0.051194708884988935,0.0,-0.019762527424159,-0.018438238473977554,0.0,0.0,-0.022590827202742678,0.0,0.0,0.0,-0.22857107241349325,0.0,0.17597302331148518
LOXIMVI,0.0,0.0,0.0,0.0,0.013229938828102972,0.0,0.0,0.0,0.0,0.0,0.0,0.41159774726687937,0.0307426717622971,0.0,0.0,0.0,0.014621299431784822,0.11258069360390774,0.014853248648388011,0.0,0.0,0.0,-0.07915512546582709,0.0,0.0,0.0,0.0,0.0,0.0,0.013801960685864187,0.0,0.0,0.021445007662748036,0.0,0.11173961796710782
HCC1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343837685137623,0.030114617058828057,-0.035351643185366766,0.0,0.0,0.0,0.08289857891346304,0.0,0.01894433087994542,0.0,0.0,0.029812017934526674,0.0,0.6285570603970208,0.0,0.0,0.0,0.0,0.0,0.08696794105305851,0.0,0.015725757662146726,0.0,-0.10948163554450593
