cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
DAUDI,0.0,0.0,0.0,-0.04079542208818981,0.0,0.0,0.0,-0.4212987456550219,0.0,0.0,0.0,0.0,-0.02805097498872765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117254403804641,0.0,0.0,0.09844744250622756,-0.032919490235052806,0.0,-0.009831841842471774,-0.41390055572940815,0.0,0.0,0.0,-0.03473892864493571,-0.09959683960094695
BICR31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09504776474196487,0.0,0.0,0.0,0.0,-0.005407039593657526,0.0,0.027203184165393277,0.0,0.0,0.0,0.015199705011912505,0.0,0.0,0.0,-0.2679351545570921,0.0,0.0,0.049215369176036305,0.0,0.0596709771724685,0.0,0.05913479125676759,0.02326238276070286,0.0,0.0,0.17420376230789464,0.0
YAPC,0.0,0.0,0.0,0.0,0.012252363589773167,0.0,0.0,0.149843937649727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21704891077727503,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266964469848513,0.0,0.0,-0.094962362540434,-0.01431471740369727,0.0,0.08483034781833416,0.0782172115068047,0.08586222104000443,0.0,0.0,0.33336293269013845,0.0
NAMALWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5427521777136309,-0.012326274552879995,0.0,0.0,0.0,-0.022740701303939737,0.0,0.0,0.0,0.0,0.0,-0.028289947052215436,0.0,0.0,0.0,-0.05915257381821443,-0.007837482866068779,-0.04965700336524143,0.0,0.0,0.0,0.0,-0.3385264887017665,-0.11990759903162147,0.0,-0.023420971737479288,0.0,0.0
TCCSUP,0.003825512160632223,0.0,0.0,0.0,0.012262478449653558,0.0,0.0051745504718058435,0.09582731250658268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026574703779798092,0.0,0.0,0.0,0.0,0.0,0.0,0.025290881510712845,0.0,0.06472115775288216,0.04013676065284063,0.0,0.0,0.0,0.4055952205352462,0.17073091818091532
KURAMOCHI,0.0,0.0,0.0,0.29066686709526374,0.019185456281069917,0.0,-0.039484278877208366,-0.23726954377507237,0.0,0.0,0.0,0.0,0.0,-0.013313801155773883,0.0,-0.010583374820491657,0.0,0.0,0.0,0.0,0.0,0.0322485677190941,0.0,0.0,0.0,-0.01599123963889401,0.0,0.0,0.0,-0.09765387975637611,0.047655837534842024,0.0,0.0,0.0,0.0
SW1088,0.0,-0.15059427335207026,0.0,0.0574358857156589,0.012247183015565362,0.0,0.0,0.08485145761216453,0.0,0.0,0.0,0.0,-0.03249882889177713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05685039749259291,0.0,0.0,0.38456876391765293,0.0,0.0,0.0,0.0644864682109086,0.020250576760748453,0.0,0.0,0.21818859772677188,0.0
MCF7,0.0,-0.056932189988725984,0.0,0.0,0.0,-0.0154678740363609,0.0,-0.09663170419859947,0.0,0.0,-0.6391222536732779,0.0,0.0,0.0,0.0,0.4202390018046116,0.0,0.0,-0.0076614554195638205,0.0,0.0,0.0,0.0,0.0,0.30468871428935324,0.0,0.0,0.0,0.0,0.0,-0.11600488999336481,0.0,0.0,0.25530765187384563,-0.03971454859028256
SW620,0.0,-0.041537455338221306,0.0,0.0,0.0,0.0,-0.02667748626582919,-0.5431327414468846,0.0,0.0,0.0,0.0,0.0,0.0,-0.019733073488338748,0.0,0.0,0.0,-0.03612938537430516,0.0,0.0,0.0,-0.07834054999532965,0.0,0.0,-0.03213703533242001,0.0,0.0,0.0,-0.11849844782522417,-0.053374940103077445,0.0,0.0,0.0,-0.03192393195401891
SW48,0.0,0.0,0.021279585649247593,0.06539211911342685,0.0,0.0,0.0,0.10313959791338033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21970113880010886,0.02249188970131277,0.0,0.01302927314821962,0.0,0.0,0.0,0.04421357752585253,0.0,0.0,0.0,0.0,0.0,0.05759502602082194,0.0635199910066279,-0.2653139284367296,0.0,0.0,0.0,0.0
RT4,0.0,-0.05636142294544432,0.0,0.0,0.0,0.0,-0.028442253794443317,0.0,0.0,0.0,-0.3613620262587455,0.0,-0.04073884781139779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07050436814324136,0.0,0.0,-0.10428729237408448,0.0,0.0,0.0,0.0,-0.21448146574425792,0.0,0.004880429769487882,0.23488438862400915,-0.02841714865823905
KM12,0.0,0.0,0.0,0.0,-0.07932732271361609,0.0,0.03208849157850626,0.025552319517493337,0.0,0.0,0.0,0.0,0.035561416237695896,0.0,-0.028285238572764892,0.0,0.0,-0.02808359419585904,0.0,0.0,0.0,0.0,-0.046111052955235834,0.0,0.0,0.36668222756911045,0.0,0.0,0.0,-0.03527174535348583,0.0,0.0,0.0,0.0,0.11975008401243141
LOXIMVI,0.0,-0.02335383595651194,0.0,-0.002568111489668859,0.0,0.0,0.0,0.11893653314551665,0.0,0.0,0.0,-0.05316350702405109,0.0,0.0,0.0,-0.04021373058707718,0.0,0.0,-0.05602517095251262,0.0,0.0,0.0,-0.08164024782150725,0.0,-0.02986613308300312,0.0,0.0,0.0,0.0,-0.24241040273238382,0.0,0.0,0.0,0.0,0.1074437125147571
HCC1500,0.0,0.0,0.0,0.0,-0.0752755637563172,-0.02133016177471712,-0.04701435348934223,-0.20486230622624405,0.0,0.0,-0.292166851921421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015327613246725047,0.0,0.0,0.0,0.0,0.0,0.20710975883456495,-0.019592624039094137,0.0,0.0,0.0,-0.04569934417984954,-0.11232787559965027,0.0,0.0,0.0,0.0
JURKAT,0.0,0.0,0.0,0.0,0.0,0.0,-0.01657483659389422,-0.46591342689739906,0.0,0.0,0.0,-0.020852943637157673,-0.008013221578036729,-0.026987972100397356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04958258541202099,0.0,0.0,0.5917885704643299,0.0,0.0,0.0,0.0,-0.2960936876532477,-0.016626471197971837,0.0,0.1498595970164483,0.0
