protein,mean,std
HSP70_Caution,0.02414932628062361,0.23533475733870093
IGFBP2,0.49106778062360806,1.2703121122907266
INPP4B,0.02039296547884187,0.4977839998573275
IRS1,0.054286057906458796,0.40955058154078516
JAK2,0.020192183741648106,0.41197984421936995
JNK_pT183_Y185,0.10382757461024499,0.48172482020858187
JNK2_Caution,0.036270484409799554,0.368963920720144
Ku80_Caution,-0.025823968819599107,0.46958242867817945
Lck,0.15637384187082407,0.867283045900178
MAPK_pT202_Y204,0.0830333140311804,0.8437920499711475
MDM2_pS166,0.07606611024498887,0.6188320777488331
MDMX_MDM4(BetIHC-00108)_Caution,0.09375928173719376,0.41568948515164134
MEK1,0.0022047082405345264,0.4596888607381992
MEK1_pS217_S221,0.031749054565701554,0.5189832567077094
MIG-6,0.13333456347438752,0.42809611971106604
Mre11_Caution,-0.00039907683741648153,0.17132566595711807
MSH2,-0.015258404231625838,0.552636129207306
MSH6_Caution,-0.0006725556792873002,0.7093750405837161
mTOR,-0.037955664810690425,0.4554804993736828
mTOR_pS2448_Caution,0.011857932071269485,0.27649066213018486
MYH11,0.06544174832962138,0.558835148567827
Myosin IIa pS1943,-0.09493091314031181,1.1141798423065519
N-Cadherin,0.029392062360801788,0.4554634866372276
N-Ras,-0.0006343975501113589,0.20841163664629417
NDRG1_pT346,0.17917640868596882,0.9051173809457418
NF-kB-p65_pS536_Caution,0.08402674276169265,0.8478204376207266
NF2_Caution,0.016664498886414254,0.7009796449683038
Notch1,0.04802963585746102,0.5538674025732677
P-Cadherin_Caution,0.12054648440979954,0.6312221563356865
p14 Arf(BetA300-340A)_Caution,0.4890042527839644,1.3618829848609695
p21,0.06811441648106904,0.7133415434242172
p27,0.050046850779510016,0.3626837645486682
p27_pT157_Caution,0.01800008240534521,0.1679032890017515
p27_pT198,0.03833285412026726,0.31752495670769343
p38 alpha MAPK,0.05691440645879733,0.40114687847043945
p38_MAPK,0.02209868374164812,0.5208459667330323
p38_pT180_Y182,-0.013242253897550108,0.6729527328521392
p53_Caution,0.2998338775055679,0.866577508594814
p62 Lck ligand_Caution,-0.00028454120267260025,0.9992670577005807
p70S6K,0.025717870824053465,0.5064635846963025
p70S6K_pT389,0.07604492316258352,0.6452699956493598
p90RSK_Caution,-1.716035634743595e-05,0.4911760170399602
p90RSK_pT359_S363_Caution,0.021215876391982184,0.2133667805646896
p90RSK_pT573_Caution,0.04496457126948775,0.5710329333805287
PAI-1,0.7610260979955457,1.8487671007047841
PARP_cleaved_Caution,0.08186150556792872,0.5442852702168705
Paxillin_Caution,-0.09700429064587975,0.7938933243224688
PCNA_Caution,0.030770120267260573,0.42877032911773344
PDCD4_Caution,0.07897710244988863,0.8956278013840115
PDK1,0.014965192650334079,0.2601519609778847
PDK1_pS241,0.006781860801781737,0.36453718778412825
PEA15,0.0438587561247216,0.4440131731251035
PEA15_pS116,0.386572206013363,0.8546827725363108
PI3K-p110-alpha_Caution,0.0013263841870824037,0.31379707621657627
PI3K-p85,0.12103907906458798,0.6124441993002178
PKC-alpha,0.11963375501113585,0.7419753388379393
PKC-alpha_pS657_Caution,-0.02727336525612472,1.0196060555176563
PKC-delta_pS664,0.04389274498886414,0.30554308706413963
PKC-pan_BetaII_pS660,-0.004796404231625848,0.6424859770270035
Porin,-0.027504017817371936,0.8635114456753363
PR,0.02813617928730512,0.3166496324424732
PRAS40_pT246,0.0321747995545657,0.387299074794217
PRDX1,0.060307731625835186,0.48460294995939035
PREX1,0.1579846781737194,0.6743105405368246
PTEN,-0.23820795211581292,1.196173103279954
Rab25,0.3293848786191537,0.8115320680447307
Rad50,-0.009651584632516705,0.4536858441590768
RAD51,-0.003919958797327399,0.4894917321425099
Raptor,-0.00017750890868596607,0.35318435988004304
Rb_Caution,0.037125936525612475,0.5260508760631649
Rb_pS807_S811,-0.017408072383073497,1.0462370370242304
RBM15,-0.03961843207126948,0.6392140695200014
Rictor_Caution,-0.015068633630289532,0.4634906513849959
Rictor_pT1135,0.05025186636971047,0.286289244407942
RSK1-2-3_Caution,-0.01679285523385301,0.7039354989097556
S6_pS235_S236,-0.14709927728285077,1.2825675536172916
S6_pS240_S244,-0.12760138975501115,1.1934482613095379
SCD1,0.1369197750556793,0.5268655783216489
SETD2_Caution,0.14514791425389756,0.4886944427359406
SF2,0.0035705022271714936,0.2771150530387169
Shc_pY317,0.06571767706013364,0.42372389687802514
SHP-2_pY542_Caution,0.11300328841870826,0.6692194622128439
Smac_Caution,0.020187790645879732,0.529925904960135
Smad1,0.04012315701559021,0.3301699811653289
Smad3,0.036137792873051224,0.33123363569097536
Smad4,0.004569378619153672,0.24102823392303
Snail_Caution,0.16217913363028955,0.66568264774023
Src,-0.010738551224944326,0.6849076849272957
Src_pY416_Caution,0.22363109020044544,0.7594498911159956
Src_pY527,-0.01788805233853007,0.6921092649311038
STAT3_Caution,0.02479543986636971,0.6519304826211223
STAT3_pY705,0.08573752004454344,0.5503545058029005
STAT5-alpha,0.26873456013363034,1.1633552635914481
Stathmin,0.05711253452115813,0.35791341295758383
Syk,0.25928070824053456,2.3426530436587534
TAZ,0.04200766481069043,0.42178225464088037
TFRC,0.016664928730512247,0.8963262166334223
TIGAR,0.09331260913140313,0.48068305730877414
Transglutaminase,0.33260312360801786,0.9000563941266074
TSC1_Caution,-0.0025923964365256154,0.4824736042571848
TTF1,0.16710718374164812,0.5636435389891707
Tuberin,-0.06604110690423162,0.5452915909624465
Tuberin_pT1462,0.05088205902004455,0.3472498258461226
VAV1_Caution,0.9594599532293986,2.2040607480208934
VEGFR2,-0.15875432516703786,1.2086506459811484
VHL_Caution,0.17292533184855233,1.8282351092683835
XBP1_Caution,0.012129065701559022,0.2774123537742572
XRCC1_Caution,0.002211781737193762,0.2907618068496927
YAP_Caution,-0.09100403452115813,0.6714761218622614
YAP_pS127_Caution,-0.3983098997772828,1.519917062742257
YB-1,0.029551295100222717,0.30076380810831616
YB-1_pS102,0.002016903118040096,0.4232335597487617
